Paket_id,Vikt,Förtjänst,Deadline
1080941076,7.5,4,2
1080941077,7.0,1,-1
1080941078,5.5,7,3
1080941079,8.1,8,0
1080941080,3.2,3,2
1080941081,6.3,3,1
1080941082,6.0,3,-1
1080941083,2.5,3,4
1080941084,6.8,4,2
1080941085,9.2,2,0
1080941086,5.3,2,3
1080941087,11.2,6,0
1080941088,5.5,7,0
1080941089,8.9,4,1
1080941090,6.2,7,4
1080941091,3.2,3,0
1080941092,8.9,4,0
1080941093,3.2,5,1
1080941094,6.5,7,3
1080941095,9.2,3,4
1080941096,5.3,7,1
1080941097,3.2,8,2
1080941098,4.5,7,0
1080941099,5.5,5,3
1080941100,5.2,5,1
1080941101,2.4,7,3
1080941102,5.3,8,0
1080941103,5.7,3,-1
1080941104,7.3,4,1
1080941105,6.4,4,0
1080941106,6.5,10,0
1080941107,5.1,3,0
1080941108,5.5,6,2
1080941109,8.5,4,1
1080941110,10.9,7,2
1080941111,7.8,5,3
1080941112,8.1,3,2
1080941113,4.5,9,1
1080941114,8.8,7,0
1080941115,6.1,5,2
1080941116,3.5,1,0
1080941117,6.8,2,1
1080941118,9.1,5,0
1080941119,3.9,6,1
1080941120,3.1,8,0
1080941121,3.7,7,0
1080941122,6.3,3,2
1080941123,4.8,4,1
1080941124,9.8,6,5
1080941125,4.9,6,1
1080941126,4.2,2,3
1080941127,6.8,7,1
1080941128,6.8,8,3
1080941129,8.6,3,1
1080941130,5.0,7,0
1080941131,11.1,7,1
1080941132,6.5,4,2
1080941133,6.7,3,3
1080941134,1.8,9,1
1080941135,7.3,5,-1
1080941136,4.3,3,1
1080941137,6.0,4,0
1080941138,4.8,4,1
1080941139,4.7,7,0
1080941140,8.6,6,2
1080941141,6.7,1,3
1080941142,9.3,4,3
1080941143,5.3,6,1
1080941144,9.5,9,1
1080941145,10.1,4,3
1080941146,7.1,4,0
1080941147,6.9,9,2
1080941148,3.4,6,2
1080941149,4.7,4,-1
1080941150,9.6,5,0
1080941151,6.0,4,1
1080941152,4.0,4,3
1080941153,7.3,3,0
1080941154,6.8,8,3
1080941155,6.0,4,2
1080941156,8.0,5,1
1080941157,7.5,3,0
1080941158,5.4,6,2
1080941159,7.7,6,0
1080941160,4.8,8,3
1080941161,10.8,6,2
1080941162,5.5,5,0
1080941163,3.6,8,3
1080941164,4.7,7,0
1080941165,7.3,6,2
1080941166,4.7,3,3
1080941167,7.8,7,1
1080941168,8.7,3,3
1080941169,10.8,7,3
1080941170,3.9,4,0
1080941171,5.4,5,0
1080941172,6.5,4,4
1080941173,8.4,5,0
1080941174,5.9,6,2
1080941175,7.3,2,1
1080941176,2.2,6,1
1080941177,5.2,6,3
1080941178,4.5,2,2
1080941179,9.3,5,1
1080941180,10.0,4,2
