Paket_id,Vikt,Förtjänst,Deadline
2241323127,6.5,3,0
2241323130,0.4,4,0
2241323136,5.2,7,7
2241323142,8.0,4,3
2241323144,4.4,9,1
2241323148,10.4,6,9
2241323154,6.3,7,9
2241323157,3.9,7,6
2241323163,10.5,2,-1
2241323166,9.3,4,9
2241323168,5.2,7,9
2241323169,9.1,3,0
2241323174,9.2,8,6
2241323177,2.0,5,3
2241323183,1.1,1,3
2241323185,4.5,3,5
2241323187,9.1,1,3
2241323191,10.6,4,7
2241323193,10.5,8,5
2241323199,4.2,6,-2
2241323205,8.5,8,1
2241323208,2.1,6,4
2241323209,5.4,2,2
2241323215,1.9,7,5
2241323221,7.8,2,0
2241323227,6.0,9,5
2241323233,7.5,7,2
2241323236,7.0,8,9
2241323240,1.5,7,4
2241323244,8.2,6,-2
2241323248,7.1,9,0
2241323254,10.1,4,8
2241323258,10.0,4,1
2241323261,6.6,8,0
2241323266,11.1,4,8
2241323269,2.8,1,7
2241323270,9.0,5,5
2241323273,3.8,4,3
2241323279,11.6,5,2
2241323280,3.9,4,3
2241323285,1.7,4,4
2241323286,1.1,3,4
2241323288,10.1,9,0
2241323294,5.0,3,-1
2241323297,10.0,9,7
2241323299,8.2,7,5
2241323301,5.4,5,3
2241323302,8.4,7,5
2241323304,2.3,3,2
2241323310,9.5,6,4
2241323314,7.5,3,6
2241323317,1.3,9,9
2241323320,7.6,2,1
2241323321,2.3,5,4
2241323322,2.7,4,9
2241323324,7.7,3,8
2241323326,8.2,3,7
2241323330,4.6,9,3
2241323332,9.2,7,4
2241323335,8.7,5,4
2241323337,9.6,6,7
2241323341,3.9,2,2
2241323344,4.8,4,4
2241323347,3.4,2,1
2241323353,7.8,9,3
2241323354,7.0,9,9
2241323360,0.5,5,-3
2241323361,4.5,3,0
2241323366,10.6,7,2
2241323368,6.6,7,9
2241323374,6.7,1,2
2241323375,2.7,4,8
2241323376,4.0,7,3
2241323379,9.1,9,1
2241323383,4.1,8,7
2241323388,11.8,4,9
2241323390,0.6,9,2
2241323391,2.2,7,3
2241323395,0.5,6,1
2241323401,9.5,6,2
2241323406,7.3,4,-4
2241323412,3.6,1,6
2241323413,2.0,7,2
2241323415,9.7,6,0
2241323419,1.0,8,7
2241323424,2.0,6,2
2241323427,5.3,9,9
2241323432,6.0,6,5
2241323433,9.0,7,1
2241323434,3.2,8,1
2241323435,11.7,8,0
2241323437,7.2,8,8
2241323438,11.2,8,0
2241323441,4.5,2,6
2241323447,4.1,7,1
2241323450,9.3,7,9
2241323453,8.4,1,0
2241323459,5.1,2,7
2241323465,2.1,4,3
2241323469,5.4,4,1
2241323471,7.1,2,5
2241323477,0.5,1,-3
2241323481,10.8,6,7
2241323486,10.7,3,2
