Paket_id,Vikt,Förtjänst,Deadline
2241323128,2.3,2,-3
2241323133,7.0,3,8
2241323138,3.0,8,-1
2241323141,3.0,3,-4
2241323147,11.9,6,5
2241323149,5.3,5,-4
2241323151,11.8,7,7
2241323154,9.2,8,-1
2241323158,11.9,2,-1
2241323162,5.7,4,5
2241323165,2.2,1,-5
2241323167,11.5,9,-2
2241323169,6.0,1,-1
2241323171,2.8,9,6
2241323175,0.4,2,3
2241323180,2.9,1,3
2241323181,3.1,8,5
2241323187,9.7,2,0
2241323189,6.7,3,2
2241323194,0.2,6,5
2241323199,3.4,5,2
2241323204,10.4,9,6
2241323205,6.8,9,2
2241323210,2.1,6,5
2241323216,5.9,2,6
2241323222,3.7,6,-3
2241323226,8.9,5,-5
2241323232,11.6,7,-2
2241323238,3.9,1,1
2241323241,3.3,6,2
2241323246,4.8,5,9
2241323250,0.3,7,4
2241323256,1.7,9,9
2241323262,2.4,3,9
2241323264,7.7,2,6
2241323269,5.4,1,2
2241323271,10.8,6,3
2241323276,6.0,4,8
2241323277,8.7,2,9
2241323282,9.6,8,6
2241323285,6.6,3,-1
2241323289,7.7,2,-5
2241323293,5.9,1,1
2241323299,4.0,7,0
2241323300,7.5,2,7
2241323301,0.3,7,5
2241323304,1.3,2,5
2241323307,9.0,7,2
2241323313,5.1,8,4
2241323314,0.8,2,-4
2241323316,5.0,1,7
2241323317,4.0,2,-3
2241323318,3.2,5,0
2241323321,0.8,5,4
2241323325,0.9,5,9
2241323330,0.6,4,3
2241323331,1.2,6,6
2241323336,4.9,9,3
2241323342,1.7,9,0
2241323343,6.4,8,-1
2241323344,7.0,6,0
2241323345,11.3,2,7
2241323351,2.6,4,3
2241323356,10.5,1,1
2241323359,8.9,8,5
2241323365,10.6,2,5
2241323369,11.4,5,-4
2241323374,11.2,5,4
2241323376,10.8,6,7
2241323381,9.2,9,3
2241323387,1.6,6,5
2241323388,9.6,3,0
2241323392,3.0,9,-1
2241323396,2.0,3,-1
2241323401,9.0,1,5
2241323402,1.8,8,5
2241323406,3.2,7,0
2241323412,5.6,8,2
2241323413,0.4,2,3
2241323419,1.5,3,3
2241323425,6.6,5,0
2241323428,8.0,6,7
2241323429,8.7,9,6
2241323433,0.2,1,5
2241323434,5.1,7,0
2241323435,9.0,9,4
2241323438,11.4,4,4
2241323440,8.1,7,7
2241323442,2.3,3,1
2241323443,7.7,2,1
2241323449,8.5,9,3
2241323451,6.0,8,2
2241323452,1.1,8,6
2241323453,3.0,4,9
2241323454,8.4,7,6
2241323455,5.8,3,8
2241323459,11.6,6,3
2241323460,7.7,2,2
2241323465,5.9,9,1
2241323471,10.3,5,0
2241323472,0.8,6,9
2241323478,11.6,4,-5
2241323482,7.1,9,-2
2241323485,0.8,9,-1
2241323491,7.8,1,6
2241323492,6.1,5,9
2241323497,4.1,6,3
2241323499,4.5,6,-4
2241323503,8.4,7,9
2241323505,6.8,8,2
2241323506,11.0,7,0
2241323509,5.6,4,-3
2241323514,9.9,2,-1
2241323520,4.5,9,9
2241323523,2.4,2,2
2241323525,0.7,6,-2
2241323526,8.5,8,6
2241323528,5.2,3,9
2241323529,5.7,7,8
2241323531,9.5,8,9
2241323536,1.4,6,9
2241323538,6.6,1,7
2241323541,8.9,5,8
2241323546,5.6,4,9
2241323552,4.0,4,6
2241323556,4.5,7,8
2241323558,6.2,1,6
2241323560,1.2,9,4
2241323565,8.4,7,2
2241323570,1.9,6,3
2241323576,5.2,9,0
2241323581,8.3,1,8
2241323585,0.6,4,-2
2241323586,9.7,9,9
2241323590,4.2,7,1
2241323592,8.6,3,-2
2241323597,10.2,3,3
2241323602,9.1,7,7
2241323607,7.0,1,1
2241323612,6.2,4,5
2241323615,2.1,6,-1
2241323620,2.4,7,-1
2241323625,10.4,7,8
2241323626,2.9,5,0
2241323632,3.4,2,-5
2241323634,10.2,1,8
2241323637,2.0,8,8
2241323638,5.5,6,-5
2241323643,8.3,6,1
2241323645,4.9,2,-1
2241323646,0.7,1,1
2241323649,2.2,9,6
2241323653,2.3,8,-1
2241323658,2.1,3,-1
2241323662,11.2,2,2
2241323664,7.2,4,-3
2241323667,7.1,3,-3
2241323671,7.3,4,1
2241323674,8.1,3,-4
2241323679,8.7,7,-3
2241323682,5.0,2,8
2241323687,10.7,9,6
2241323691,4.4,5,3
2241323696,5.3,9,6
2241323702,5.4,8,0
2241323704,4.2,9,2
2241323708,4.4,6,8
2241323710,5.5,9,3
2241323715,9.1,9,-2
2241323716,4.1,6,-1
2241323722,3.4,1,2
2241323724,3.0,3,6
2241323728,5.1,3,4
2241323730,6.0,4,3
2241323734,2.1,4,2
2241323735,12.0,6,3
2241323738,9.1,6,-1
2241323742,5.4,7,7
2241323743,1.0,4,0
2241323744,4.9,7,5
2241323749,0.2,7,2
2241323754,1.0,3,0
2241323758,3.4,1,3
2241323764,1.2,2,7
2241323765,1.9,8,6
2241323766,8.3,8,4
2241323769,3.6,6,8
2241323774,5.3,7,4
2241323776,8.6,5,8
2241323781,7.8,8,8
2241323787,5.7,4,3
2241323789,7.5,7,1
2241323794,11.6,6,-4
2241323796,6.3,4,6
2241323797,7.4,1,-5
2241323798,7.0,6,1
2241323799,2.3,5,6
2241323800,8.6,8,3
2241323804,4.2,1,7
2241323806,10.3,7,6
2241323807,11.7,6,1
2241323811,6.7,8,0
2241323816,6.7,2,8
2241323822,11.7,1,6
2241323825,0.3,3,1
2241323827,8.8,9,9
2241323828,5.7,4,5
2241323829,9.5,6,-4
2241323832,3.8,8,9
2241323837,7.8,5,7
2241323839,5.6,6,-5
2241323845,3.8,7,4
2241323847,8.0,7,8
2241323848,10.0,3,-5
2241323854,1.2,9,-2
2241323857,3.0,3,1
2241323863,9.0,9,7
2241323866,3.5,8,6
2241323871,11.4,3,-5
2241323876,2.3,9,3
2241323881,2.5,6,-5
2241323885,10.6,9,7
2241323886,4.7,3,4
2241323891,3.4,4,-4
2241323894,3.1,9,6
2241323896,10.3,4,2
2241323902,6.6,3,8
2241323905,2.9,4,-1
2241323910,8.1,9,7
